datetime,type,GZ1,GZ2,GZ3,GZ4,GZ5,GZ6,GZ7,GZ8,GZ9,GZ10,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9,SZ10,SZ11,FS1,FS2,FS3,FS4,FS5,FS6,FS7,FS8,ZS1,ZS2,ZS3,ZS4,HZ1,HZ2,HZ3,HZ4,HZ5,DG1,DG2,DG3,DG4,DG5,ZH1,ZH2,ZH3,ZH4,JM1,JM2,JM3,JM4,ZQ1,ZQ2,ZQ3
2021-01-01 00:00:00,PM2.5,,,,,,,,,,,16.0,,,,,19.0,,,,,,,,,,16.0,,,,,,,,,,,,,,12.0,16.0,13.0,12.0,,,20.0,,,,,,29.0,22.0,15.0
2021-01-01 01:00:00,PM2.5,18.0,15.0,11.0,15.0,15.0,14.0,14.0,17.0,14.0,10.0,16.0,18.0,11.0,20.0,12.0,20.0,22.0,10.0,16.0,16.0,20.0,16.0,20.0,18.0,17.0,17.0,22.0,19.0,22.0,21.0,20.0,33.0,19.0,15.0,17.0,17.0,17.0,15.0,12.0,10.0,18.0,16.0,15.0,19.0,50.0,18.0,30.0,17.0,17.0,18.0,20.0,25.0,23.0,21.0
2021-01-01 02:00:00,PM2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,24.0,25.0
2021-01-01 03:00:00,PM2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
2021-01-01 04:00:00,PM2.5,15.0,14.0,12.0,16.0,13.0,11.0,13.0,16.0,13.0,10.0,20.0,20.0,14.0,20.0,13.0,23.0,,9.0,18.0,19.0,19.0,12.0,16.0,14.0,17.0,,21.0,14.0,18.0,13.0,13.0,18.0,17.0,15.0,17.0,17.0,17.0,20.0,,,10.0,16.0,20.0,18.0,26.0,17.0,16.0,10.0,9.0,11.0,12.0,26.0,24.0,28.0
2021-01-01 07:00:00,PM2.5,15.0,12.0,16.0,22.0,20.0,10.0,12.0,30.0,12.0,10.0,17.0,20.0,13.0,18.0,14.0,21.0,,11.0,20.0,17.0,15.0,13.0,16.0,15.0,,,14.0,15.0,20.0,13.0,14.0,19.0,14.0,16.0,17.0,16.0,15.0,13.0,,,10.0,17.0,18.0,19.0,33.0,20.0,14.0,12.0,7.0,11.0,14.0,26.0,26.0,27.0
2021-01-01 08:00:00,PM2.5,15.0,14.0,9.0,21.0,19.0,10.0,14.0,32.0,14.0,14.0,16.0,20.0,17.0,19.0,15.0,21.0,,10.0,19.0,16.0,15.0,12.0,16.0,14.0,,,13.0,14.0,18.0,15.0,16.0,18.0,14.0,20.0,19.0,16.0,13.0,11.0,,,10.0,17.0,19.0,25.0,31.0,16.0,14.0,12.0,7.0,10.0,14.0,26.0,26.0,34.0
2021-01-01 09:00:00,PM2.5,14.0,13.0,10.0,16.0,15.0,10.0,14.0,26.0,14.0,12.0,15.0,19.0,25.0,20.0,14.0,21.0,,11.0,18.0,16.0,15.0,11.0,16.0,13.0,,,13.0,14.0,18.0,15.0,15.0,16.0,13.0,19.0,17.0,15.0,13.0,10.0,,,10.0,16.0,18.0,17.0,39.0,17.0,15.0,11.0,6.0,9.0,13.0,26.0,26.0,30.0
2021-01-01 10:00:00,PM2.5,13.0,12.0,10.0,18.0,13.0,10.0,12.0,20.0,12.0,13.0,17.0,19.0,25.0,19.0,13.0,20.0,,10.0,17.0,16.0,15.0,10.0,14.0,12.0,,,21.0,14.0,22.0,15.0,17.0,17.0,13.0,18.0,16.0,16.0,13.0,9.0,,,12.0,15.0,18.0,18.0,29.0,18.0,14.0,,7.0,10.0,15.0,28.0,24.0,22.0
2021-01-01 11:00:00,PM2.5,14.0,13.0,11.0,16.0,17.0,9.0,13.0,19.0,13.0,12.0,18.0,20.0,22.0,19.0,13.0,17.0,,10.0,16.0,17.0,17.0,10.0,15.0,12.0,8.0,,16.0,15.0,17.0,16.0,20.0,21.0,13.0,17.0,15.0,16.0,14.0,10.0,,,17.0,14.0,18.0,18.0,34.0,21.0,15.0,,8.0,12.0,15.0,28.0,21.0,21.0
